Which of the following describe your relationship to RA? (check all that apply),Which of the following best describes your approach to RetroAchievements?,Describe briefly what makes an RA set well-designed,"What one set on RA best illustrates what you would consider ""perfect"" set design?",Explain what makes the linked RA set a good example of perfect set design.,How do you feel about the following types of achievements? [Standard Progression & Milestones],"How do you feel about the following types of achievements? [Completion (100%, collectables, all stages/missions)]","How do you feel about the following types of achievements? [Grinding / Hyper-Completion (reach level 99, collect every drop, reach 1000 kills with every weapon, etc)]",How do you feel about the following types of achievements? [Damageless Boss Challenges],How do you feel about the following types of achievements? [Deathless Boss Challenges],"How do you feel about the following types of achievements? [Other Boss Challenges (weapon restrictions, party restrictions, etc)]","How do you feel about the following types of achievements? [Level Challenges (no powerups, don't press left, no jumping, etc)]","How do you feel about the following types of achievements? [Easter Eggs (highlighting one-off points of interest in a game, intended by the game developers)]","How do you feel about the following types of achievements? [Developer-Created Challenges (highlighting one-off points of interest in a game, NOT intended by the game developers)]",How do you feel about the following types of achievements? [Score Challenges],How do you feel about the following types of achievements? [Speedrun Challenges],"Are there any other types of achievement types that you enjoy that were not mentioned in the previous question? If so, please describe them here.",How do you prefer progression milestones to be broken down?,What additional content do you expect out of an RA set beyond simple game completion?,How willing are you to play a game multiple times for the purpose of mastering a set?,Which of the following applies to your experiences playing RA sets? [I have skipped achievements for being too difficult],Which of the following applies to your experiences playing RA sets? [I have skipped achievements for being a type of achievement I don't like],Which of the following applies to your experiences playing RA sets? [I have not played *an entire set* because it contained a small number of achievements I didn't want to complete],"Which of the following applies to your experiences playing RA sets? [I feel the need to master every set that I play, even if I don't care for some of the achievements]",Which of the following applies to your experiences playing RA sets? [I mostly play games of a specific series or genre]
"I am a player, I am a Developer (or Jr Dev, or former Dev)","I play RA sets specifically for mastery, and will often complete challenges that I don't find fun in order to complete the set",Unique challenges that feel rewarding to complete,https://retroachievements.org/game/6049,A lot of unique and fun challenges like 1-up achievements and nozzle restrictions,Neutral,Like,Like,Like,Like,Like,Love,Love,Love,Like,Love,n/a,"I like one achievement per stage, even when there might be a lot of stages","completion of all possible routes/endings, where applicable, 100%, as defined by the game, further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc), per-boss and/or per-stage challenges, as defined by the dev, full-game challenges, as defined by the dev",5,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree
"I am a player, I am a Developer (or Jr Dev, or former Dev)","I play RA sets specifically for mastery, and will often complete challenges that I don't find fun in order to complete the set",,https://retroachievements.org/game/3416,"Progression, 100℅ completion, fair challenges and easter eggs/secrets",Love,Love,Hate/Avoid,Like,Like,Like,Neutral,Love,Dislike,Like,Like,,I like stages to be grouped to reduce the number of overall achievements,"completion of all possible routes/endings, where applicable, 100%, as defined by the game, further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc)",2,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","It covers everything the game has to offer to the point even just beating the game or going for 100% is worth your time and already gets you a solid chunk of the set, and it has reasonable well-known challenges, as well as thematic/creative ones that try to showcase mechanics that might be overlooked by most players. ""Reasonable"" is the key here; the fact some don't seem to get this is why I voted neutral for dev-intended challenges, it just depends too much on the game and the specific challenges for a solid answer",https://retroachievements.org/game/764,"After its latest revision, it became easily one of the better RPG sets I played since it has almost everything I previously described in some way or another",Love,Love,Neutral,Like,Neutral,Like,Like,Like,Neutral,Neutral,Neutral,,"I like one achievement per stage, even when there might be a lot of stages","completion of all possible routes/endings, where applicable, 100%, as defined by the game, further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc), per-boss and/or per-stage challenges, as defined by the dev",3,Disagree,Neutral,Agree,Agree,Neutral
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","It depends on the game, Contra III to say 
a random example, it's okay that it's difficult to master because difficulty is part of its essence.
what I mean, keep in mind the type of game it is.

",https://retroachievements.org/game/510,"ummm... I haven't played enough games with RA cheevos to be able to say what the ""perfect set"" would be, but this is the one I enjoyed the most.

Another example of a good set of achievements is Home Alone (NES) perhaps? In my case the achievements made the experience more fun and I think that if they weren't there I wouldn't even play it for 2 minutes.",Love,Neutral,Dislike,Neutral,Like,Like,Like,Neutral,Like,Like,Like,,"I like one achievement per stage, even when there might be a lot of stages","100%, as defined by the game, per-boss and/or per-stage challenges, as defined by the dev, full-game challenges, as defined by the dev",2,Agree,Strongly Agree,Strongly Agree,Disagree,Agree
I am a player,"I don't pay much attention to RA, and I don't change my playstyle with regards to the RA achievement set. I earn whatever achievements I earn",A set that could be fun and challenging but never unfair,https://retroachievements.org/game/2356,"That set is massive, but perfect in every single way the extras are incredible, the titles and all the progression, medals everything fits perfectly in to a game like RE4, at first it's overwhelming but at the end it's very stimulating, its difficult but doable and I love it",Love,Like,Neutral,Like,Like,Like,Love,Love,Love,Like,Like,,"I like one achievement per stage, even when there might be a lot of stages","completion of all possible routes/endings, where applicable, 100%, as defined by the game, per-boss and/or per-stage challenges, as defined by the dev",4,Agree,Strongly Disagree,Strongly Disagree,Agree,Neutral
"I am a player, I am a Developer (or Jr Dev, or former Dev)","I play RA sets specifically for mastery, and will often complete challenges that I don't find fun in order to complete the set","Fun, challenging challenges and completion achievements. Covering unique playing methods of games that don't require breaking manipulation or excessive bug breaking. Long grinds should be in a subset ",https://retroachievements.org/game/473,"Full completion required, special difficulty included, doesn't require a high number of playthroughs, includes unique challenges that are fun and fair",Love,Love,Neutral,Dislike,Like,Hate/Avoid,Love,Love,Love,Love,Neutral,,I don't have an opinion on the number of progression achievements.,"100%, as defined by the game, further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc), per-boss and/or per-stage challenges, as defined by the dev",2,Agree,Strongly Agree,Strongly Agree,Agree,Disagree
"I am a player, I am a Developer (or Jr Dev, or former Dev), I volunteer (or have previously volunteered) on one of the various RA teams","I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","100%, easter eggs, challenges that encourage different playstyles or highlight underused mechanics.",https://retroachievements.org/game/10067,"Covers 100%, easter eggs, and has fun challenges. Lots of damageless cheevos but it fits the game.",Love,Love,Dislike,Neutral,Love,Love,Love,Love,Love,Love,Like,,I like stages to be grouped to reduce the number of overall achievements,"completion of all possible routes/endings, where applicable, 100%, as defined by the game, further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc), per-boss and/or per-stage challenges, as defined by the dev",3,Strongly Agree,Agree,Strongly Disagree,Neutral,Neutral
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","Lack of missing content, and creativity, both within the bounds of the game's objectives, and entirely new concepts.",https://retroachievements.org/game/6049,"Every possible but if in game content is covered in the set, with very fun, if difficult, unique challenges to boot. The excessively difficult ones still exist in the form of multiple subsets.",Love,Love,Dislike,Dislike,Neutral,Neutral,Like,Love,Love,Like,Neutral,,I don't have an opinion on the number of progression achievements.,"completion of all possible routes/endings, where applicable, 100%, as defined by the game, further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc), per-boss and/or per-stage challenges, as defined by the dev",4,Agree,Neutral,Strongly Disagree,Disagree,Disagree
I am a player,"I play RA sets specifically for mastery, and will often complete challenges that I don't find fun in order to complete the set","Sets that take into consideration the difficulty of the game, doesn't make things overly difficult (speed runner times or impossible trophies), trophies that challenge you away from the traditional way of playing the game or the meta way. ",https://retroachievements.org/game/2778,"A challenging set, however makes you change your playstyles from convention ways that you'd play the game ",Love,Love,Love,Dislike,Like,Love,Like,Love,Like,Dislike,Hate/Avoid,,I don't have an opinion on the number of progression achievements.,"completion of all possible routes/endings, where applicable, 100%, as defined by the game, per-boss and/or per-stage challenges, as defined by the dev, full-game challenges, as defined by the dev",3,Disagree,Disagree,Agree,Strongly Agree,Agree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","The Fun challenges and well designed sets (the oposite of a good set is an unfun set, wich has repetitive or unfair achievements)",https://retroachievements.org/game/12957,"Despite having an achievement ""without dying"", the achievement is not that complicated, since the game is quite simple, it also asks to complete 100% of the game without it being tedious, in addition to adding some challenges to the set that are also not very complicated. The set completely understands the game, asking for something proportional to what the game offers, without the need to add frustrating and difficult achievements",Love,Love,Neutral,Hate/Avoid,Hate/Avoid,Like,Dislike,Love,Dislike,Dislike,Hate/Avoid,,I like stages to be grouped to reduce the number of overall achievements,"completion of all possible routes/endings, where applicable, 100%, as defined by the game",4,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","It should have progression covering all the game with several additional ""challenges"" throughout the game. An ideal set should require more than one playthrough of a game.",https://retroachievements.org/game/10113,"the main game is fully included. There are several 3-heart challenges throughout. Game is doable, but has some hard spots.",Love,Love,Dislike,Like,Like,Like,Like,Love,Like,Like,Like,I like meme/troll achievements which haven't really been allowed on RA for a long time. The only ones that remain are 0-pointers.,"I like one achievement per stage, even when there might be a lot of stages","completion of all possible routes/endings, where applicable, 100%, as defined by the game, further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc), per-boss and/or per-stage challenges, as defined by the dev",5,Strongly Agree,Agree,Strongly Disagree,Disagree,Disagree
I am a player,"I play RA sets specifically for mastery, and will often complete challenges that I don't find fun in order to complete the set","For main sets: challenging, but not requiring speedrun-level skill, covering all the game's content but not requiring 100% completion if it's a long, tedious grind with no in-game reward. (Bonus sets, of course, can be whatever.) Categories are also important, since that helps me find games with a particular quality that I'm interested in. Most importantly, I should be able to see all the requirements of the achievements. I think some rules about that were added recently? I don't personally mind if things are a bit complex, but I don't like details being put in comments since those tend to be buried, and if they're in a forum post then they should either be in the first or second post or be linked to from there because having to search for a particular post is annoying.",https://retroachievements.org/game/11289,"It covers all the events, sidequests, and bonus bosses. It requires mastering every class, getting every TinyMedal reward, and capturing many monsters, but does not require mastering every class with every character, finding every single TinyMedal, or capturing 100% of monsters. The achievement descriptions are reasonably clear, without any details hidden in a comment or whatever. Finally, it includes several categories; series, subgenre, publisher, etc.",Like,Like,Like,Neutral,Neutral,Neutral,Neutral,Like,Like,Dislike,Hate/Avoid,"Sometimes there are warning achievements, like ""this commonly-used emulator doesn't work"" or ""you need a working microphone"". I appreciate devs trying to look out for players.",I don't have an opinion on the number of progression achievements.,,3,Neutral,Strongly Agree,Strongly Agree,Agree,Neutral
I am a player,"I play RA sets specifically for mastery, and will often complete challenges that I don't find fun in order to complete the set","Covers all content -- no matter how annoying (looking at you jump rope mini game in Final Fantasy 9). Appreciate it there are a few challenges in there as well. 
Would prefer a decent scoring for time invested. Really really prefer when missables are marked, props if achievements are in order. ",https://retroachievements.org/game/1449,"While I won't call it perfect, I really enjoy this set. Completionist playthrough, challenge run, covers all content, and imo doesn't overstay its welcome. ",Love,Love,Like,Neutral,Neutral,Neutral,Neutral,Like,Neutral,Neutral,Dislike,,"I like one achievement per stage, even when there might be a lot of stages","100%, as defined by the game",4,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
I am a player,"I don't pay much attention to RA, but I will occasionally look at the RA set to see if there are any challenges that I want to try","A good mix of progression, challenge, and extra achievements. Nothing insanely difficult.",https://retroachievements.org/game/2148,"The achievements in the set are paced nicely between each other. The more challenging achievements are tough, but not too tough as to not be unenjoyable, and all the extra achievements (Can I Have Your Autograph?, A Stronger Curse, Special Delivery) encourage interesting and fun interactions that the player might not have known about before.",Love,Like,Neutral,Neutral,Neutral,Like,Neutral,Love,Neutral,Like,Dislike,,I don't have an opinion on the number of progression achievements.,"100%, as defined by the game, per-boss and/or per-stage challenges, as defined by the dev",3,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
I am a player,"I play RA sets specifically for mastery, and will often complete challenges that I don't find fun in order to complete the set","Contains at least a full progression set to establish milestones throughout vanilla gameplay, if possible. Introduces player to Easter-eggs and other hidden features without demanding world record level play/extensive glitch abuse. Challenges players to play the game in a a different or creative way to achieve the same outcome. ",https://retroachievements.org/game/1446,"Mix of speedrun, challenges, collection, Easter egg, and progression achievements that require some skill/practice/patience but aren't overly complicated and do not require a top 1% performance. Also, no single achievement requires you to play too long in one sitting (~<1hour)",Love,Like,Dislike,Like,Like,Love,Like,Love,Love,Like,Like,,I don't have an opinion on the number of progression achievements.,"completion of all possible routes/endings, where applicable, 100%, as defined by the game, further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc), per-boss and/or per-stage challenges, as defined by the dev",4,Agree,Disagree,Agree,Strongly Agree,Disagree
"I am a player, I am a Developer (or Jr Dev, or former Dev)","I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges",Challenges that make you engage in fun gameplay experiences you would not have otherwise had and which comprise a reasonably full experience of the game.,https://retroachievements.org/game/3934,"It's very thorough, every aspect of the game is explored, leading me to learn tons of things about the game I never knew.  Every boss + midboss has a challenge achievement, usually with damageless and one of a variety of creative extra conditions (damageless is over hated, and I think Zelda bosses are an epitome of where they DO belong).  Challenges were hard enough to feel like you're actually achieving something, while still very doable.  The set design meshes with the game: TP is actually an extremely forgiving game, so it allows for hard challenges to not be frustrating, the size and difficulty of the set is good for this game, but would not necessarily be right for other games.",Like,Like,Dislike,Love,Love,Love,Love,Like,Love,Like,Love,,I like stages to be grouped to reduce the number of overall achievements,"completion of all possible routes/endings, where applicable, 100%, as defined by the game, per-boss and/or per-stage challenges, as defined by the dev",4,Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree
"I am a player, I am a Developer (or Jr Dev, or former Dev)","I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","IMO a well-designed set is one that provides the player with a variety of different goals that encourage them to explore and exploit systems they may not have before, and learn new things about a beloved game",https://retroachievements.org/game/6253/,"We got progression, we got extra completion of non-story modes and minigames, we got a gentle stretch goal for story mode (999 bananas) that encourages you to engage with the stages more than just getting to the goal, and we got a generous buffet of individual level challenges, of varying severity, all that take under 60 seconds and teach you something cool, interesting, or useful about the game physics, the stage design, and the interactions thereof. And then to top it all off, it has a harrowing final exam that will put everything you've learned to the test. And it's simply stated: clear the hardest courses on challenge mode, default settings, no continues. This mastery was delightful, and IMO the best example of perfect set design I've come across.",Like,Like,Dislike,Like,Like,Love,Love,Love,Love,Love,Love,,I like stages to be grouped to reduce the number of overall achievements,"completion of all possible routes/endings, where applicable, 100%, as defined by the game, per-boss and/or per-stage challenges, as defined by the dev, full-game challenges, as defined by the dev",5,Disagree,Disagree,Strongly Disagree,Neutral,Strongly Disagree
"I am a Developer (or Jr Dev, or former Dev)","I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","Well designed sets are the fruit of labor that comes with a developer's deep understanding of the game and knowledge of what makes it fun. Good sets will account for progression, grinding for secrets (as long as it doesn't fall under unwelcome concept), finding easter eggs and challenges that only people who are intimate with the game could possibly come up with. Good sets also have creative badges and achievement names along with leaderboards that fit the game.",https://retroachievements.org/game/16839,"The set does all listed on my answer above, plus it leaves clues on the achievement badges, which is very fitting for the game in question.",Love,Love,Neutral,Hate/Avoid,Dislike,Like,Neutral,Love,Love,Neutral,Neutral,,I like stages to be grouped to reduce the number of overall achievements,"completion of all possible routes/endings, where applicable, 100%, as defined by the game, full-game challenges, as defined by the dev",4,Agree,Strongly Agree,Strongly Agree,Agree,Disagree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges",A set that extracts 100% of a game experience ,https://retroachievements.org/game/1308,The set make you play all the game mechanics ,Like,Love,Neutral,Like,Like,Neutral,Neutral,Love,Like,Like,Neutral,,"I like one achievement per stage, even when there might be a lot of stages","100%, as defined by the game",3,Agree,Strongly Agree,Neutral,Agree,Agree
I am a player,"I play RA sets specifically for mastery, and will often complete challenges that I don't find fun in order to complete the set",When includes a well balanced challenge that it's creative enough that even when it's hard you can't complain.,https://retroachievements.org/game/1462,It makes you engage with the game in a different way that only with this set you can experience,Neutral,Love,Dislike,Like,Like,Like,Like,Neutral,Dislike,Dislike,Hate/Avoid,Off the wall achievements like the do the Mario from SMW,I don't have an opinion on the number of progression achievements.,"100%, as defined by the game",3,Neutral,Disagree,Neutral,Agree,Strongly Agree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges",,https://retroachievements.org/game/11294,,Love,Like,Dislike,Love,Love,Like,Neutral,Love,Like,Like,Hate/Avoid,,I like stages to be grouped to reduce the number of overall achievements,"completion of all possible routes/endings, where applicable",3,Agree,Agree,Disagree,Neutral,Strongly Agree
I am a player,"I play RA sets specifically for mastery, and will often complete challenges that I don't find fun in order to complete the set","100% collectables of game, bonus scenes, secret of the game such as characters, devs messages and so on.",https://retroachievements.org/game/11247,"The set for Final Fantasy IX offers many of the things I mentioned even though some things are truly not needed such as using only starter weapons and no crystals vs X character.
However, at the same time, the cheevos are actually fun and you just manage to do it sooner or later as soon as you're a completionist.",Love,Love,Love,Neutral,Neutral,Neutral,Neutral,Love,Love,Neutral,Hate/Avoid,"Speedruns are included but I wanna mention them here again because they are part of many main sets and I think they should be on subsets. We are completionists, not speedrunners.",I don't have an opinion on the number of progression achievements.,"completion of all possible routes/endings, where applicable, 100%, as defined by the game, further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc), per-boss and/or per-stage challenges, as defined by the dev, full-game challenges, as defined by the dev",5,Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges",Sets that make me play differentely and find better or more effective ways to beat games,https://retroachievements.org/game/11240,I honestely did not realize how many bosses in this game could be made easy and done damageless before I played this set. Galamoth will never be the same for me now,Love,Love,Like,Love,Love,Neutral,Like,Love,Love,Love,Dislike,Only mentioning one type I don't like as there is no other place to do so. I despise single session achievements as power or internet can go out at anytime,"I like one achievement per stage, even when there might be a lot of stages","completion of all possible routes/endings, where applicable, 100%, as defined by the game, further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc), per-boss and/or per-stage challenges, as defined by the dev",3,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges",Challenges that flow well with the entire set. and not having a random gatekeepy ones like say level 5 game clear without having achievements that also reward it for each boss.,https://retroachievements.org/game/11366,Adding challenges to a very easy game. covers all of the items and secrets. while feeling like it flows perfectly as you play it with no issues. a set that starts with challenges to start to finish kinda like the Digital Devil Set.,Love,Love,Love,Dislike,Neutral,Neutral,Hate/Avoid,Love,Love,Like,Dislike,,I don't have an opinion on the number of progression achievements.,"completion of all possible routes/endings, where applicable, 100%, as defined by the game, further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc)",3,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","A well-designed RA set gives the player a sense of accomplishment, encourages exploration and experimentation, and teaches veteran players something new about the game.",Ocarina of Time  https://retroachievements.org/game/10113,"The set is perfectly balanced in terms of difficulty, progression, and even has a few Easter Eggs.  I absolutely adored this set and I rank it as #1 among all sets I've played thus far.",Love,Love,Dislike,Neutral,Like,Dislike,Like,Love,Like,Like,Neutral,,I don't have an opinion on the number of progression achievements.,"100%, as defined by the game, per-boss and/or per-stage challenges, as defined by the dev, full-game challenges, as defined by the dev",5,Agree,Strongly Agree,Strongly Agree,Agree,Disagree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges",When there's a mixture of both story elements and challenging achievements. ,https://retroachievements.org/game/20784,"The game has story based achievements, collection achievements, and challenging achievements.",Love,Love,Like,Neutral,Dislike,Neutral,Neutral,Like,Neutral,Like,Dislike,,"I like one achievement per stage, even when there might be a lot of stages","completion of all possible routes/endings, where applicable, 100%, as defined by the game, further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc), per-boss and/or per-stage challenges, as defined by the dev, full-game challenges, as defined by the dev",3,Agree,Neutral,Agree,Neutral,Agree
I am a player,"I don't pay much attention to RA, but I will occasionally look at the RA set to see if there are any challenges that I want to try","I like sets that encourages their players to try new things and/or show easter eggs, if available. In my opinion, sets that are too hard, like complete the game without getting hit or sets that are too hard should be a bonus set. The mastery should be a fun thing to do, not plain like ""complete chapter 1, complete chapter 2, etc"" nor ""Beat boss X without getting hit using just a wooden sword"". It should be balanced.",https://retroachievements.org/game/724,"The set makes you try your best with limitations, so you can improve and it's not nearly impossible for casual players to complete. It also has a few achievements focusing on optional things and a few secrets that some players would not notice in a regular gameplay.",Love,Love,Like,Dislike,Hate/Avoid,Dislike,Like,Love,Love,Dislike,Hate/Avoid,,"I like one achievement per stage, even when there might be a lot of stages","completion of all possible routes/endings, where applicable, 100%, as defined by the game",2,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Neutral
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","No missable achievements, align with the overall game design, balances challenge and fun",https://retroachievements.org/game/6580,Well designed with enough challenge ,Love,Like,Dislike,Hate/Avoid,Dislike,Dislike,Hate/Avoid,Love,Like,Neutral,Dislike,,"I like one achievement per stage, even when there might be a lot of stages","100%, as defined by the game, further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc), full-game challenges, as defined by the dev",2,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree
I am a player,"I don't pay much attention to RA, but I will occasionally look at the RA set to see if there are any challenges that I want to try","A set that fully explores what you can do in a game, going beyond simply ""what the game devs intended"". Simple completion checklist sets are boring; instead, the dev should create custom challenges that highlight different playstyles, requiring players to exit their comfort zone and think of alternative strategies. ""Easter egg"" achievements are also fun when possible (e.g. viewing a rare alternative version of a cutscene due to player choices).",https://retroachievements.org/game/2781,"It explores at length what you can do in the game. Along with the simple progression achievements, the dev included custom challenges in almost all boss and event fights, with level and moveset restrictions that at the same time avoid cheesing and mindless button mashing, highlight common strategies by restricting them, and require the player to adapt to the challenge by playing differently. It also explores all side content such as minigames and collectables, leading the player to a typical ""100% save"".",Neutral,Love,Love,Love,Like,Love,Love,Love,Love,Neutral,Hate/Avoid,"Game-wide (or per boss) player level restrictions (e.g. ""beat the game at level 30 or below"", ""defeat boss X at level 20 or below"")",I don't have an opinion on the number of progression achievements.,"completion of all possible routes/endings, where applicable, 100%, as defined by the game, further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc), per-boss and/or per-stage challenges, as defined by the dev, full-game challenges, as defined by the dev",4,Agree,Agree,Strongly Disagree,Disagree,Strongly Agree
I am a player,"I play RA sets specifically for mastery, and will often complete challenges that I don't find fun in order to complete the set","Progression cheevos. Missables marked. 100%ing the game 100%s the set, and pushes me to do just a little better than I think I'm capable of. Such as achievements that gently nudge the player into an easier solution are welcome. (e.g. if a boss is cheeseable with weapon C, have two achievements, one for damageless, and one for victory without using weapon C.) There is the occasional game where 100%ing it is ridiculous, such as Road Trip Adventure for GameCube. Moving the 100% to a subset was the right call there.",https://retroachievements.org/game/10120,All of the challenges it imposes are challenges found in the game itself in order to 100% the game. Plus a few extra challenges for the free-for-all mode.,Love,Love,Hate/Avoid,Love,Love,Like,Like,Love,Love,Like,Dislike,"I'm gonna be honest, the #1 motivator to badge a game is if it's got a pretty & unique badge. As an example, I haven't bothered to badge Chrono Trigger for the DS because the badge doesn't provide anything remarkably different from the SNES or PS1 badges. ""Oh wow another badge of Chrono? Pass."" Change the badge to Schala or Frog, and I'd be on it in a heartbeat. As another example, I only badged Grandia: Parallel Trippers because I felt the badge was cute. I absolutely hated the game, but I did it for the cuteness.",I like stages to be grouped to reduce the number of overall achievements,"completion of all possible routes/endings, where applicable, 100%, as defined by the game",3,Neutral,Agree,Neutral,Strongly Agree,Disagree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges",Half of the achievements for progression/completion. Achievements encouraging you to see off the beaten path funny tid-bits execpt is missable. Challenge specific achievements should be a subset.,https://retroachievements.org/game/2827,"Progression achievements make sense, completion achievement not hidden behind abritary conditions. Good incensitve to try out different characters and made me see more of the game than I do on a normal playthrough. Crazy challenge achievements in a subset.",Love,Like,Dislike,Dislike,Neutral,Neutral,Hate/Avoid,Love,Like,Like,Like,,"I like one achievement per stage, even when there might be a lot of stages","100%, as defined by the game",3,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree
I am a player,"I play RA sets specifically for mastery, and will often complete challenges that I don't find fun in order to complete the set", ,https://retroachievements.org/game/1772, ,Love,Love,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Love,Neutral, ,"I like one achievement per stage, even when there might be a lot of stages","completion of all possible routes/endings, where applicable, 100%, as defined by the game, per-boss and/or per-stage challenges, as defined by the dev, full-game challenges, as defined by the dev",5,Strongly Agree,Neutral,Neutral,Neutral,Strongly Agree
I am a player,"I play RA sets specifically for mastery, and will often complete challenges that I don't find fun in order to complete the set","when it's well rounded with progression, easter eggs, fun challenges, not too many missables. Not having too many challenges that add nothing to gameplay is a plus as well.",https://retroachievements.org/game/2991,this sets had a nice mix of challenges that make you want to learn the game's ins and outs like beating the game on hard and deathless challenges ,Love,Love,Neutral,Dislike,Neutral,Neutral,Hate/Avoid,Love,Neutral,Like,Love,,"I like one achievement per stage, even when there might be a lot of stages","100%, as defined by the game, further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc), per-boss and/or per-stage challenges, as defined by the dev",2,Neutral,Agree,Agree,Strongly Agree,Disagree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","Having to figure out interesting mechanics or interactions to beat a section of the game, finding easter eggs or hidden dialogue/upgrades. Low dependence on RNG. No unnecessary speedruns. ",https://retroachievements.org/game/10113,"Most of the challenges are based on mechanics the game expects you to understand, the additional boss requirements are doable to anyone with enough experience in the genre, the three heart challenge is difficult to a newbie, but can be mitigated with proper preparation. ",Love,Love,Dislike,Hate/Avoid,Hate/Avoid,Like,Dislike,Love,Love,Dislike,Hate/Avoid,,I don't have an opinion on the number of progression achievements.,"completion of all possible routes/endings, where applicable, 100%, as defined by the game, per-boss and/or per-stage challenges, as defined by the dev",4,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","A set containing achievements that pertain to all major features of a given game, including significant side content, meaning the player will have experienced all the title has to offer upon mastering the set.",https://retroachievements.org/game/3151,"All major content is covered in that set, including post game content. Completing or mastering the set will mean the player has fully sunk their teeth into the game, having explored every nook and cranny and leaving no stone unturned. All achievements in the set are reasonable, and there are no overtly “grindy” achievements, or achievements that would waste the players time.",Love,Love,Hate/Avoid,Like,Like,Dislike,Dislike,Love,Like,Neutral,Dislike,,I don't have an opinion on the number of progression achievements.,"completion of all possible routes/endings, where applicable, 100%, as defined by the game, per-boss and/or per-stage challenges, as defined by the dev",4,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","Covers everything that a game has to offer, and provides challenges that align with the intended design of the game",https://retroachievements.org/game/11259,"Covers everything that the game has to offer, whether it be through the actual mode content or by making the player engage with the mechanics that the game displays, and also provides completable extra challenges that an acceptable level of skill level is needed to accomplis",Love,Love,Like,Neutral,Neutral,Dislike,Dislike,Love,Hate/Avoid,Neutral,Hate/Avoid,,I don't have an opinion on the number of progression achievements.,"completion of all possible routes/endings, where applicable, 100%, as defined by the game",3,Agree,Neutral,Agree,Neutral,Agree
